JOB_ID,JOB_TYPE,DEPTH_M,DIAMETER_MM,MATERIAL,LENGTH_M,JOB_COST
Job 1029,Repair,1.9,90,AC,22.13,2142.964701
Job 1030,Repair,2.07,250,CI,26.38,7920.354478
Job 1031,Replace,1.8,315,AC,33.12,24209.71514
Job 1032,Replace,1.96,63,CI,39.18,4846.596412
Job 1033,Replace,3.57,63,AC,30.47,8889.171986
Job 1034,Replace,2.45,200,ST,17.26,15724.972
Job 1035,Replace,3.7,63,CI,21.37,7441.429815
Job 1036,Replace,3.78,90,AC,15.14,10232.63873
Job 1037,Replace,3.06,90,AC,16.45,9434.423544
Job 1038,Replace,1.97,125,ST,35.58,9291.344184
Job 1039,Repair,2.48,90,AC,36.67,3512.893905
Job 1040,Replace,4.44,90,AC,14.13,10743.73985
Job 1041,Repair,2.88,50,CI,22.28,1789.198799
Job 1042,Replace,1.85,63,AC,35.96,3949.707073
Job 1043,Replace,2.89,90,AC,30.08,8760.838102
Job 1044,Replace,1.95,63,ST,27.15,5917.68807
Job 1045,Replace,1.17,90,AC,21.08,3648.003154
Job 1046,Repair,3.21,90,AC,21.26,3544.551408
Job 1047,Replace,3,50,CI,19.85,5179.959825
Job 1048,Replace,3.94,200,ST,29.25,27915.61206
Job 1049,Replace,4.04,90,CI,19.92,10875.76246
Job 1050,Replace,2.03,200,CI,17.56,11322.60757
Job 1051,Replace,4.49,200,ST,14.61,28874.5297
Job 1052,Replace,3.27,63,AC,18.9,5971.553048
Job 1053,Replace,2.24,63,AC,19.14,4252.841963
Job 1054,Repair,3.75,125,AC,18.56,4258.758944
Job 1055,Replace,4.08,63,ST,27.48,9285.69208
Job 1056,Repair,3.03,315,CI,22.05,11533.6286
Job 1057,Repair,4.01,315,ST,18.42,15179.50535
Job 1058,Repair,1.86,90,AC,28.68,1967.711321
Job 1059,Replace,1.97,63,AC,25.77,3765.544239
Job 1060,Replace,2.34,200,AC,25.47,17513.45905
Job 1061,Repair,2.05,200,AC,35.21,5441.423545
Job 1062,Replace,2.3,63,AC,11.31,4062.245332
Job 1063,Replace,2.63,125,CI,23.21,11942.55554
Job 1064,Replace,1.99,125,CI,44.32,12959.96404
Job 1065,Replace,3.46,90,CI,35.54,10028.59385
Job 1066,Repair,2.24,90,ST,22.64,2237.408553
Job 1067,Replace,3.95,90,AC,16.36,9379.375552
Job 1068,Repair,1.2,63,AC,24.14,968.3341437
Job 1069,Replace,1.32,125,ST,16,5449.937741
Job 1070,Replace,2.97,250,AC,12.89,17747.52942
Job 1071,Replace,2.87,50,AC,25.14,4807.407385
Job 1072,Replace,1.77,90,AC,11.44,4467.552159
Job 1073,Repair,2.02,200,ST,25.45,5302.519996
Job 1074,Repair,2.37,90,CI,23.05,2708.480142
Job 1075,Repair,3.58,125,AC,13.44,3693.18473
Job 1076,Replace,-2.02,90,CI,37.17,9179.295467
Job 1077,Repair,2.05,90,CI,17.21,1863.464985
Job 1078,Repair,1.7,250,AC,32.35,5913.550238
Job 1079,Repair,3.12,90,AC,37.36,4073.358017
Job 1080,Replace,2.96,200,AC,22.1,19347.52758
Job 1081,Replace,3.48,63,ST,21.76,7496.114185
Job 1082,Replace,3.32,63,AC,21.62,5822.55181
Job 1083,Repair,2.57,63,CI,24.31,2179.350071
Job 1084,Replace,1.43,90,AC,29.92,4531.216799
Job 1085,Replace,4.32,125,AC,23.53,21057.42525
Job 1086,Replace,2.13,90,AC,22.68,6006.18654
Job 1087,Replace,3.5,90,AC,14.27,8526.965461
Job 1088,Replace,2.31,50,AC,20.27,4292.980322
Job 1089,Repair,4.51,125,AC,12.31,4609.596141
Job 1090,Replace,4.02,250,AC,42.2,49659.21478
Job 1091,Repair,1.84,90,CI,29.8,2358.249118
Job 1092,Replace,3.16,125,ST,26.68,12884.92925
Job 1093,Replace,2.87,63,ST,15.74,5474.252765
Job 1094,Replace,2.52,200,CI,33.94,21553.97638
Job 1095,Repair,3.44,90,CI,25.31,4248.972385
Job 1096,Repair,1.46,90,CI,34.09,2208.643984
Job 1097,Replace,3.42,63,CI,22.18,6972.926644
Job 1098,Replace,2.4,90,ST,19.29,6229.473625
Job 1099,Replace,3.3,200,AC,16.5,18426.82022
Job 1100,Replace,3.1,90,CI,21.97,9746.79367
Job 1101,Replace,1.43,63,AC,20.69,3054.549596
Job 1102,Repair,2.42,200,CI,22.53,5555.975786
Job 1103,Replace,3.13,90,AC,22.72,9508.928853
Job 1104,Replace,1.93,63,ST,26.85,4251.040164
Job 1105,Repair,4.72,125,AC,26.54,6700.098631
Job 1106,Repair,3.22,63,AC,10.78,1890.79798
Job 1107,Repair,3.18,50,ST,20.06,2088.172597
Job 1108,Repair,1.44,90,CI,20.52,1645.658022
Job 1109,Replace,3.52,90,AC,31.56,12535.37612
Job 1110,Repair,1.97,50,ST,27.38,1185.872981
Job 1111,Repair,3.49,999999,AC,14.22,2780.957933
Job 1112,Repair,2.27,63,AC,46.39,2396.640854
Job 1113,Replace,1.72,63,ST,17.07,3415.200291
Job 1114,Replace,2.82,315,AC,20.68,23732.00354
Job 1115,Repair,3.11,90,AC,20.44,3294.46468
Job 1116,Repair,1.72,63,ST,11.21,1022.445422
Job 1117,Replace,1.62,90,AC,13.8,4834.634948
Job 1118,Replace,2.16,90,AC,23.75,7614.190879
Job 1119,Repair,1.84,90,AC,44.31,2610.336849
Job 1120,Replace,4.16,63,AC,27.23,9408.82282
Job 1121,Replace,3.28,125,AC,22.4,13680.41739
Job 1122,Repair,1.5,63,AC,20.58,1051.64659
Job 1123,Replace,2.35,90,AC,15.16,6756.139037
Job 1124,Replace,1.33,200,CI,19.46,8936.115543
Job 1125,Replace,1.25,90,AC,16.65,3040.939997
Job 1126,Replace,2.35,50,AC,27.15,4121.701102
Job 1127,Repair,2.99,63,CI,27.83,2523.124243
Job 1128,Replace,2.44,200,CI,20.94,17430.57738
Job 1129,Repair,2.16,63,AC,17.86,1376.75313
Job 1130,Repair,2.78,315,AC,31.71,11290.74197
Job 1131,Replace,4.51,200,AC,20.47,31326.29254
Job 1132,Replace,1.7,63,CI,25.25,3658.898472
Job 1133,Replace,3.49,250,AC,37.73,38310.80011
Job 1134,Replace,1.53,50,CI,19.9,2146.958428
Job 1135,Repair,2.53,90,CI,25.25,2900.306432
Job 1136,Replace,2.18,90,AC,40.08,8100.435723
Job 1137,Replace,3.6,315,AC,24.37,41921.14072
Job 1138,Replace,4.13,63,AC,39.11,10462.53701
Job 1139,Replace,2.22,50,CI,21.85,3980.10745
Job 1140,Repair,3.93,250,ST,31.02,16129.29816
Job 1141,Replace,3.89,125,AC,12.55,14058.75075
Job 1142,Replace,2.19,63,AC,22.06,4283.008945
Job 1143,Replace,1.2,90,CI,9.96,2133.465375
Job 1144,Replace,2.61,63,CI,43.2,7246.692812
Job 1145,Replace,3.12,90,AC,31.92,12258.79025
Job 1146,Replace,3.93,90,ST,35.93,13912.42393
Job 1147,Replace,2.24,125,CI,21.36,9237.577714
Job 1148,Replace,2.84,63,AC,20.92,6117.719847
Job 1149,Replace,4.88,50,ST,37.51,9356.064636
Job 1150,Replace,2.16,90,CI,27.51,6911.103033
Job 1151,Replace,1.55,125,CI,28.82,6263.100377
Job 1152,Replace,3.95,50,ST,14.52,5384.943906
Job 1153,Repair,1.39,63,CI,25.37,1066.642807
Job 1154,Repair,2.68,63,AC,27.61,1914.187081
Job 1155,Repair,2.47,90,CI,15.07,2310.457217
Job 1156,Replace,2.39,90,AC,14.37,5515.562982
Job 1157,Replace,2.18,200,AC,33,17937.01914
Job 1158,Repair,3.81,63,CI,24.74,3710.28677
Job 1159,Replace,2.06,90,AC,34.93,7790.543151
Job 1160,Repair,2.82,90,AC,24.12,3856.19892
Job 1161,Replace,3.13,90,AC,27.33,9918.35858
Job 1162,Replace,2.42,90,ST,19.62,6999.548937
Job 1163,Replace,1.6,50,AC,18.16,2816.180161
Job 1164,Replace,2.34,50,ST,11.74,2867.964171
Job 1165,Replace,2.43,63,CI,16.59,4232.703015
Job 1166,Replace,1.77,90,CI,42.94,7167.662322
Job 1167,Replace,3.57,63,CI,21.27,7498.311547
Job 1168,Replace,1.81,63,ST,27.92,4177.037142
Job 1169,Repair,2.04,200,AC,26.6,6418.028852
Job 1170,Replace,1.47,63,AC,27.67,3089.858392
Job 1171,Replace,3.11,200,ST,19.64,18675.92925
Job 1172,Repair,2.6,90,CI,40.49,3062.350541
Job 1173,Replace,1.92,63,ST,13.84,3633.896994
Job 1174,Replace,2.33,125,AC,33.15,10234.28317
Job 1175,Repair,1.72,63,AC,29.34,1658.80125
Job 1176,Repair,1.64,90,AC,20.36,1497.936302
Job 1177,Repair,2.93,250,AC,34.29,10984.07655
Job 1178,Replace,3.8,50,CI,36.77,8263.52166
Job 1179,Repair,3.06,90,AC,21.61,3333.098781
Job 1180,Repair,2.96,63,AC,40.66,3133.07815
Job 1181,Replace,3.9,50,ST,17.14,6008.32589
Job 1182,Repair,2.81,63,AC,17.43,1823.461998
Job 1183,Replace,3.42,90,AC,16.01,10840.53249
Job 1184,Repair,2.69,315,CI,16.69,9622.867838
Job 1185,Replace,3.01,200,CI,34.37,23962.84152
Job 1186,Replace,1.55,63,AC,35.17,3601.820321
Job 1187,Repair,2.46,125,AC,13.49,2865.475966
Job 1188,Replace,3.8,63,AC,30.39,10201.09678
Job 1189,Replace,3.36,200,CI,30.35,29328.08306
Job 1190,Replace,2.2,200,ST,23.68,18402.98059
Job 1191,Replace,4.22,200,AC,17.61,26412.89751
Job 1192,Replace,2.94,200,CI,21.31,18937.5999
Job 1193,Replace,2.64,125,AC,42.58,14127.56412
Job 1194,Replace,2.18,125,AC,35.03,12539.84059
Job 1195,Replace,1.8,50,ST,16.46,2695.978015
Job 1196,Replace,3.01,125,CI,12.11,9115.008071
Job 1197,Replace,3.15,50,AC,18.16,4645.216327
Job 1198,Replace,3.2,200,AC,18.36,20193.59818
Job 1199,Repair,3.89,90,ST,31.88,4838.91629
Job 1200,Replace,2.06,125,CI,36.02,10101.78821
Job 1201,Repair,2.62,50,AC,11.5,1192.248223
Job 1202,Replace,2.88,250,AC,42.43,36062.21233
Job 1203,Replace,3.21,90,CI,15.91,8136.532488
Job 1204,Replace,3.29,50,AC,35.23,6553.074777
Job 1205,Replace,1.84,125,AC,20.95,6878.818332
Job 1206,Replace,3.46,200,CI,31.27,29363.82492
Job 1207,Replace,3.55,250,CI,28.45,29181.20343
Job 1208,Repair,1.52,90,AC,13.69,1373.262853
Job 1209,Repair,2.23,250,AC,22.9,6016.255938
Job 1210,Repair,3.29,63,AC,19.84,2481.89496
Job 1211,Replace,3.07,90,CI,21.01,8611.480264
Job 1212,Replace,2.07,125,AC,28.92,8451.269709
Job 1213,Replace,2.62,200,CI,30.29,22037.19483
Job 1214,Repair,3.53,90,ST,22.27,3282.378092
Job 1215,Replace,3.07,200,CI,31.56,22148.67865
Job 1216,Replace,2.9,63,ST,26.55,5996.335357
Job 1217,Repair,2.86,90,CI,17.99,2502.151567
Job 1218,Replace,3.08,250,AC,20,28980.2919
Job 1219,Repair,2.71,250,AC,23.17,7656.785806
Job 1220,Replace,1.48,90,AC,37.05,5989.574845
Job 1221,Replace,2.58,63,CI,18.73,4705.401752
Job 1222,Replace,2.55,63,ST,47.78,6586.432501
Job 1223,Repair,2.27,200,AC,26.04,6418.458632
Job 1224,Replace,1.65,63,CI,12.93,3011.923803
Job 1225,Replace,2.27,200,CI,22.76,16684.9484
Job 1226,Replace,2.7,90,ST,17.09,7495.020433
Job 1227,Replace,3.75,50,ST,30.65,7723.457035
Job 1228,Replace,1.06,200,ST,16.77,6487.936362
Job 1229,Replace,3.6,63,CI,26.59,8339.902604
Job 1230,Replace,2.23,90,CI,32.08,8490.808493
Job 1231,Replace,3.32,200,AC,23.49,20264.5118
Job 1232,Replace,1.62,90,ST,18.58,4980.894247
Job 1233,Replace,2.08,63,AC,21.69,4547.290207
Job 1234,Repair,1.93,250,AC,20.57,NA
Job 1235,Repair,2.38,315,AC,32.42,10373.61252
Job 1236,Replace,2.07,200,AC,32.35,12094.89101
Job 1237,Replace,2.23,125,ST,21.89,8680.973718
Job 1238,Repair,3.32,200,AC,44.4,10644.52786
Job 1239,Replace,2.36,125,ST,19.62,11288.01707
Job 1240,Repair,3.74,63,AC,19.42,2678.433239
Job 1241,Replace,2.58,200,AC,25.73,15699.15884
Job 1242,Replace,3.46,63,AC,32.74,6909.438354
Job 1243,Replace,2.35,200,AC,21.04,17883.25032
Job 1244,Repair,3.64,90,CI,18.15,3684.259894
Job 1245,Replace,2.22,50,AC,45.83,6301.86611
Job 1246,Replace,2.21,450,CI,43.58,54186.04323
Job 1247,Replace,2.86,315,AC,29.75,32370.37422
Job 1248,Replace,3.16,63,AC,16.9,5895.191629
Job 1249,Repair,4.05,63,ST,30.32,2839.259274
Job 1250,Replace,4.03,90,AC,18.15,10815.30514
Job 1251,Replace,1.95,63,ST,24.55,4216.793249
Job 1252,Repair,4.47,200,CI,11.24,8753.713315
Job 1253,Replace,3.71,90,AC,29.24,12253.21879
Job 1254,Replace,1.14,63,CI,28.22,2609.435754
Job 1255,Replace,1.94,63,AC,10.53,3198.603353
Job 1256,Replace,3.15,200,CI,17.95,20599.43635
Job 1257,Replace,4.18,50,CI,18.93,7598.99434
Job 1258,Replace,4.08,125,AC,45.19,20062.42425
Job 1259,Replace,2.33,63,AC,24.1,4820.927353
Job 1260,Replace,3.84,90,AC,16.49,9866.389656
Job 1261,Replace,3.51,63,AC,28.2,8294.006888
Job 1262,Repair,1.85,63,AC,44.94,1600.40819
Job 1263,Replace,2.89,90,AC,38.93,11497.53573
Job 1264,Replace,2.53,90,AC,28.24,8443.350507
Job 1265,Replace,1.97,90,CI,23.24,5675.426097
Job 1266,Repair,4.29,125,ST,21.01,6888.060739
Job 1267,Replace,2.38,63,ST,29.79,6252.983741
Job 1268,Repair,3.93,90,ST,42.36,5521.086278
Job 1269,Replace,2.13,125,ST,43.77,11659.3801
Job 1270,Repair,3.46,125,CI,27.94,5400.489251
Job 1271,Replace,1.91,90,ST,30.39,7516.30045
Job 1272,Repair,2.9,90,AC,43,4078.596556
Job 1273,Replace,2.24,90,AC,30.57,8710.318196
Job 1274,Repair,2.98,63,CI,31.87,2915.421136
Job 1275,Repair,2.81,63,AC,39.39,2675.272243
Job 1276,Repair,1.35,200,ST,27.6,3831.02034
Job 1277,Replace,3.01,90,CI,41.72,10454.52129
Job 1278,Replace,1.27,63,CI,13.77,2337.403516
Job 1279,Replace,2.96,90,AC,41.14,11765.0926
Job 1280,Replace,3.82,250,AC,20.01,32825.83241
Job 1281,Repair,3.3,250,ST,10.13,8599.753007
Job 1282,Replace,2.19,90,AC,33.7,7584.282824
Job 1283,Replace,2.21,90,AC,27.11,6509.538322
Job 1284,Replace,3.09,200,AC,30.85,22114.5003
Job 1285,Replace,2.2,200,CI,29.57,17727.55669
Job 1286,Replace,3.09,90,ST,41.37,10678.77235
Job 1287,Replace,3.93,125,AC,22.8,16766.18748
Job 1288,Replace,2.72,125,CI,22.21,13555.71968
Job 1289,Replace,3.52,250,AC,17.34,27883.85275
Job 1290,Repair,3.02,125,ST,24.8,4797.811581
Job 1291,Replace,2.52,200,AC,25.33,17844.30195
Job 1292,Replace,1.98,50,AC,18.86,3413.37209
Job 1293,Replace,1.97,90,AC,40.73,7335.470489
Job 1294,Replace,3.3,90,AC,16.48,9403.587723
Job 1295,Repair,2.82,200,AC,19.66,6677.184072
Job 1296,Replace,3.97,200,AC,27.4,29514.74168
Job 1297,Repair,1.63,63,ST,10.85,775.9911562
Job 1298,Repair,2.39,63,CI,19.4,1601.81311
Job 1299,Repair,1,63,ST,21.48,807.3237118
Job 1300,Repair,1.94,50,AC,47.36,1608.152303
Job 1301,Replace,1.86,50,CI,45.03,4347.232736
Job 1302,Replace,2.1,63,AC,21.22,4426.09345
Job 1303,Replace,2.2,200,CI,18.67,14485.96439
Job 1304,Repair,3.07,200,AC,21.06,6537.091444
Job 1305,Replace,2.39,315,AC,23.15,27525.20193
Job 1306,Replace,1.84,90,ST,23.34,5575.395622
Job 1307,Repair,2.45,90,CI,32.95,2509.270762
Job 1308,Replace,4.58,250,AC,40.12,51609.27522
Job 1309,Repair,1.83,90,CI,33.39,2713.400333
Job 1310,Repair,2.2,90,AC,9.5,1501.731294
Job 1311,Replace,1.52,50,AC,16.82,1772.03354
Job 1312,Repair,3.13,63,AC,18.04,2248.049552
Job 1313,Replace,1.93,63,AC,27.83,3987.007923
Job 1314,Replace,1.98,200,AC,28.85,16518.28471
Job 1315,Replace,1.5,50,CI,33.42,3226.722837
Job 1316,Repair,2.49,90,ST,19.92,2859.845021
Job 1317,Replace,4.75,90,AC,13.2,9947.014501
Job 1318,Replace,2.02,90,AC,23.94,6580.401131
Job 1319,Replace,3.28,125,AC,39.89,18290.22603
Job 1320,Replace,1.89,315,AC,25.58,25069.41697
Job 1321,Replace,2.46,63,AC,16.3,4268.328256
Job 1322,Replace,2.77,63,AC,13.85,4759.212214
Job 1323,Replace,2.42,315,AC,44.25,37883.07122
Job 1324,Repair,3.77,315,AC,16.91,11308.91599
Job 1325,Replace,1.09,63,ST,33.48,2618.16187
Job 1326,Repair,1.67,90,AC,20.21,1596.332649
Job 1327,Repair,2,63,AC,26.88,1490.379353
Job 1328,Replace,2.17,315,AC,37.66,33961.39775
Job 1329,Replace,4.49,250,AC,42.89,51907.00536
Job 1330,Replace,4.43,200,CI,18.03,23396.67878
Job 1331,Replace,1.48,50,CI,18.68,2320.949546
Job 1332,Replace,2.15,315,CI,15.97,20660.87142
Job 1333,Replace,2.26,200,CI,23.73,17084.1129
Job 1334,Repair,2.82,90,CI,28.41,3579.015571
Job 1335,Replace,2.04,125,AC,26.54,8596.910832
Job 1336,Repair,2.63,90,CI,22.91,2584.246598
Job 1337,Replace,2.97,90,AC,28.37,10560.80989
Job 1338,Replace,2.52,50,AC,22.43,4355.054561
Job 1339,Replace,4.16,125,AC,20.38,18460.89542
Job 1340,Replace,2.05,90,ST,22.04,6913.086096
Job 1341,Replace,4.13,125,AC,19.89,16197.38951
Job 1342,Replace,2.17,63,CI,11.06,3271.780644
Job 1343,Repair,1.64,63,AC,12.96,940.871377
Job 1344,Repair,3.42,200,ST,30.59,9845.573898
Job 1345,Repair,2.03,90,ST,17.83,1959.964493
Job 1346,Repair,3.7,125,AC,17.97,6092.918672
Job 1347,Repair,1.79,63,CI,30.24,1468.598508
Job 1348,Replace,4.07,315,AC,26.45,46467.99506
Job 1349,Replace,2.11,125,AC,17.16,8320.312163
Job 1350,Repair,2.12,125,CI,26.94,3437.42589
Job 1351,Replace,1.69,125,AC,18.44,5915.756927
Job 1352,Replace,3.34,125,ST,13.8,12991.22026
Job 1353,Replace,3.63,63,ST,26.2,7605.69032
Job 1354,Replace,1.45,200,CI,17.61,8213.236015
Job 1355,Repair,1.5,125,CI,23.5,2415.156497
Job 1356,Repair,3.18,63,CI,37.06,3289.602915
Job 1357,Repair,2.87,50,AC,25.75,1753.27403
Job 1358,Replace,3.39,200,CI,20.99,23503.6594
Job 1359,Repair,1.99,50,ST,32.46,1163.792371
Job 1360,Repair,1.67,125,CI,38.18,3373.178236
Job 1361,Replace,3.23,200,AC,26.08,25330.02795
Job 1362,Repair,4.05,200,AC,28.9,10633.3857
Job 1363,Repair,2.43,90,ST,18.87,2157.835632
Job 1364,Replace,1.63,125,ST,17.41,5783.318937
Job 1365,Replace,1.61,50,ST,26.08,2580.827715
Job 1366,Replace,2.94,125,AC,18.6,11618.1566
Job 1367,Replace,4.37,90,AC,33.68,17813.0599
Job 1368,Replace,2.61,250,CI,10.8,16208.63115
Job 1369,Replace,2.02,250,AC,34.07,21205.75259
Job 1370,Replace,2.35,125,CI,35.93,11593.93063
Job 1371,Replace,1.95,200,AC,15.61,10359.56418
Job 1372,Replace,2.16,125,AC,19.11,8308.062153
Job 1373,Replace,2.19,315,CI,23.99,24099.02148
Job 1374,Replace,1.62,90,CI,41.17,6639.049925
Job 1375,Replace,1.92,90,CI,30.09,6196.565505
Job 1376,Replace,3.41,63,CI,23.04,8342.102524
Job 1377,Repair,2.98,200,ST,31.93,9022.444982
Job 1378,Replace,2.02,125,CI,31.92,9807.760906
Job 1379,Replace,1.52,125,AC,13.88,4776.889533
Job 1380,Repair,3.33,125,AC,22.46,5204.868777
Job 1381,Replace,3.77,63,AC,21.4,7828.497341
Job 1382,Repair,4.5,63,AC,23.14,3608.333839
Job 1383,Replace,3.54,50,AC,9.31,3911.471483
Job 1384,Replace,3.22,125,AC,35.91,16333.25366
Job 1385,Replace,2.64,50,AC,27.71,5158.628799
Job 1386,Replace,1.57,50,AC,19.84,2472.535297
Job 1387,Replace,2.09,63,CI,24.62,4774.872073
Job 1388,Repair,2.78,63,CI,43.03,2416.820155
Job 1389,Replace,2.58,125,AC,16.72,7988.443527
Job 1390,Replace,2.23,90,AC,16.18,6071.322956
Job 1391,Replace,1.82,125,AC,18.61,8069.215242
Job 1392,Replace,3.32,90,ST,21.79,9353.818004
Job 1393,Replace,2.49,50,AC,19.22,4678.280418
Job 1394,Replace,1.69,50,AC,26.7,2679.543309
Job 1395,Repair,3.12,90,CI,11.16,2387.756993
Job 1396,Replace,1.55,450,AC,24.14,25434.12069
Job 1397,Replace,1.27,125,CI,30.6,5753.728976
Job 1398,Replace,3.2,250,CI,21.72,24376.50745
Job 1399,Replace,4.33,250,CI,27.62,42494.01643
Job 1400,Replace,1.6,125,CI,16.27,6729.768282
Job 1401,Repair,4.14,50,AC,13.13,1749.84168
Job 1402,Replace,2.8,125,AC,11.82,9706.090473
Job 1403,Replace,2.79,315,AC,29.92,34395.41257
Job 1404,Replace,2.64,250,AC,24.56,22738.57198
Job 1405,Repair,1.79,125,AC,18.57,2501.11456
Job 1406,Replace,2.41,125,CI,17.08,9237.146629
Job 1407,Repair,2.07,63,AC,19.42,1466.519307
Job 1408,Replace,2.38,90,CI,15.3,6497.678308
Job 1409,Repair,3.46,250,ST,20.09,10317.33636
Job 1410,Replace,3.42,90,CI,16.87,8917.54335
Job 1411,Replace,2.32,90,CI,17.62,6640.631027
Job 1412,Repair,1.13,450,AC,23.8,5381.292625
Job 1413,Replace,3.06,63,CI,34.38,7663.78199
Job 1414,Repair,2.8,90,ST,30.5,3873.322954
Job 1415,Replace,2.91,90,AC,23.87,9492.070689
Job 1416,Repair,3.53,200,AC,23.83,8952.210247
Job 1417,Repair,3.25,50,ST,22.71,2253.921555
Job 1418,Repair,3.56,315,CI,20.35,12898.91146
Job 1419,Replace,4.79,90,AC,22.55,14033.54688
Job 1420,Repair,2.63,315,CI,41.6,13748.13917
Job 1421,Replace,3.08,90,CI,24.33,10088.1804
Job 1422,Repair,1.09,315,AC,15.67,3529.883053
Job 1423,Replace,3.25,200,ST,19.8,23725.18459
Job 1424,Repair,3.24,90,AC,16.73,3331.206956
Job 1425,Replace,3.24,250,AC,16.62,30344.21525
Job 1426,Replace,4.46,125,AC,35.14,23506.89833
Job 1427,Replace,1.89,90,AC,36.94,7554.581835
Job 1428,Repair,2.14,125,ST,29.3,3682.719071
Job 1429,Repair,1.73,90,AC,14.46,1760.604337
Job 1430,Repair,1.31,90,ST,26.66,1843.807146
Job 1431,Replace,2.1,63,ST,19.65,3328.525284
Job 1432,Replace,1.81,63,CI,26.96,3775.15142
Job 1433,Replace,2.03,250,ST,17.82,14322.35799
Job 1434,Repair,3.34,125,AC,21.49,3569.566305
Job 1435,Repair,2.74,250,AC,16.6,8488.869478
Job 1436,Replace,3.35,90,AC,29.69,11765.61614
Job 1437,Replace,3.77,200,CI,30.93,29793.80059
Job 1438,Replace,2.29,125,AC,13.46,5899.067097
Job 1439,Replace,3.98,250,CI,10.69,27630.78446
Job 1440,Replace,3.65,200,AC,20.95,26969.28818
Job 1441,Replace,2.46,315,AC,42.94,32297.37359
Job 1442,Repair,2.83,63,AC,20.78,2150.746618
Job 1443,Replace,3.62,200,ST,20.27,24090.20791
Job 1444,Replace,2.9,90,ST,29.09,8336.416627
Job 1445,Replace,3.41,63,AC,21.42,7387.502224
Job 1446,Replace,1.81,90,AC,30.04,5474.702077
Job 1447,Repair,2.56,90,CI,32.41,3588.72595
Job 1448,Replace,1.44,250,AC,39.8,15596.736
Job 1449,Replace,3.15,90,ST,34.74,11288.29168
Job 1450,Repair,3.07,200,AC,45.66,9106.125779
Job 1451,Replace,1.49,200,AC,44.19,16285.22852
Job 1452,Replace,2.42,90,AC,11.32,5266.65717
Job 1453,Replace,3.53,90,AC,31.39,11790.89776
Job 1454,Replace,1.88,63,ST,21.46,3871.819969
Job 1455,Replace,2.95,200,AC,20.16,17785.12531
Job 1456,Replace,3.28,63,AC,10.49,4383.445392
Job 1457,Replace,1.12,200,CI,23.55,8671.235351
Job 1458,Replace,2.38,63,AC,10.49,3414.753917
Job 1459,Repair,2.49,90,AC,32.99,3400.096944
Job 1460,Replace,2.43,125,ST,13.67,9153.894464
Job 1461,Replace,2.39,90,CI,35.15,8387.895626
Job 1462,Replace,4.05,450,AC,30.32,73389.83006
Job 1463,Replace,4.85,315,AC,13.82,41838.03997
Job 1464,Replace,2.63,200,AC,18.54,16553.64331
Job 1465,Replace,2.21,450,CI,39.29,41703.46528
Job 1466,Replace,1.89,200,ST,14.15,9326.72915
Job 1467,Replace,1.97,63,AC,30.05,4183.918529
Job 1468,Replace,1.69,90,AC,38.46,6892.775511
Job 1469,Replace,3.48,200,ST,16.34,20074.15819
Job 1470,Replace,2.82,90,AC,31.92,10849.05613
Job 1471,Repair,2.49,315,AC,18.5,8629.707568
Job 1472,Replace,1.79,90,AC,13.47,4500.320218
Job 1473,Repair,3.01,63,ST,26.79,2377.761414
Job 1474,Repair,3.26,200,ST,30.36,9875.348263
Job 1475,Replace,1.53,63,AC,16.29,2887.999007
Job 1476,Repair,4.05,90,AC,25.59,4054.194739
Job 1477,Repair,2.05,90,ST,32.67,2662.056673
Job 1478,Replace,3.21,50,CI,44.31,7689.710534
Job 1479,Repair,2.48,90,AC,34.55,3215.360711
Job 1480,Repair,3.06,90,CI,18.76,3266.195078
Job 1481,Replace,2.75,63,AC,21.08,6327.890981
Job 1482,Replace,2.06,125,AC,33.96,10231.67126
Job 1483,Replace,2.73,250,AC,42.43,33471.26775
Job 1484,Replace,2.91,50,AC,28.83,5192.772152
Job 1485,Replace,3.28,200,AC,12.75,19372.24256
Job 1486,Replace,2.25,200,CI,31.59,18322.08046
Job 1487,Repair,3.9,125,CI,26.3,8020.450384
Job 1488,Replace,4.3,200,ST,45.9,47297.16974
Job 1489,Repair,3.31,63,AC,26.91,3461.004724
Job 1490,Replace,1.95,90,AC,17.79,5161.193428
Job 1491,Replace,3.05,125,CI,25.56,12990.50929
Job 1492,Replace,3.28,125,AC,11.72,9603.305117
Job 1493,Replace,1.64,63,ST,36.56,4218.431573
Job 1494,Replace,2.32,63,AC,16.11,4525.794749
Job 1495,Repair,3.71,200,CI,31.64,10951.11934
Job 1496,Replace,2.44,63,AC,28.75,6131.58122
Job 1497,Repair,2.62,63,AC,20.84,2055.270914
Job 1498,Replace,2.17,315,ST,20.19,19868.53752
Job 1499,Repair,1.79,50,AC,21.6,1119.631472
Job 1500,Replace,1.2,90,ST,38.57,5008.889704
Job 1501,Repair,1.64,200,AC,28.57,4788.070886
Job 1502,Repair,3.26,125,CI,38.27,6499.345701
Job 1503,Replace,3.57,200,AC,23.14,26247.47844
Job 1504,Repair,2.78,250,CI,21.4,8658.092526
Job 1505,Replace,2.23,90,CI,18.63,6499.207485
Job 1506,Replace,1.58,63,AC,33.13,3761.197991
Job 1507,Repair,2.9,200,AC,13.13,5586.630804
Job 1508,Repair,2.08,63,ST,39.62,2232.055128
Job 1509,Repair,2.34,50,AC,33.24,1619.136624
